marks,stream,interest,exam,college
88,Science,Architecture,JEE,Architecture College
87,Commerce,Business,CAT,Business School
73,Commerce,Finance,CA,CA Coaching Institute
71,Commerce,Management,CAT,Business School
73,Commerce,Accounting,CA,Commerce College
70,Commerce,Economics,CUET,Economics College
62,Arts,Law,CLAT,Law University
65,Arts,Design,NIFT,Design Institute
65,Arts,Mass Media,CUET,Mass Media College
56,Arts,Psychology,CUET,Psychology College
59,Arts,Fine Arts,NIFT,Fine Arts College
67,Arts,Hotel Management,NCHMCT,Hotel Management College
70,Science,Pharmacy,GPAT,Pharmacy College
66,Commerce,Hotel Management,NCHMCT,Hotel Management College
97,Science,Engineering,JEE,Top IIT/NIT
84,Science,Medical,NEET,Government Medical College
82,Science,Computer Science,NEET,Engineering College
69,Science,Biology,NEET,Private Medical College
88,Science,Architecture,JEE,Architecture College
77,Commerce,Business,CAT,Business School
74,Commerce,Finance,CA,CA Coaching Institute
72,Commerce,Management,CAT,Business School
71,Commerce,Accounting,CA,Commerce College
81,Commerce,Economics,CUET,Economics College
64,Arts,Law,CLAT,Law University
58,Arts,Design,NCHMCT,Design Institute
58,Arts,Mass Media,CUET,Mass Media College
61,Arts,Psychology,CUET,Psychology College
58,Arts,Fine Arts,NIFT,Fine Arts College
60,Arts,Hotel Management,NIFT,Hotel Management College
69,Science,Pharmacy,GPAT,Pharmacy College
67,Commerce,Hotel Management,NEET,Hotel Management College
92,Science,Engineering,JEE,Top IIT/NIT
85,Science,Medical,NEET,Government Medical College
76,Science,Computer Science,JEE,Engineering College
62,Science,Biology,NEET,Private Medical College
89,Science,Architecture,JEE,Architecture College
84,Commerce,Business,CAT,Business School
73,Commerce,Finance,CA,CA Coaching Institute
56,Commerce,Management,CAT,Business School
69,Commerce,Accounting,CA,Commerce College
77,Commerce,Economics,CUET,Economics College
77,Arts,Law,CLAT,Law University
62,Arts,Design,NIFT,Design Institute
59,Arts,Mass Media,CUET,Mass Media College
45,Arts,Psychology,CUET,Psychology College
50,Arts,Fine Arts,NIFT,Fine Arts College
61,Arts,Hotel Management,NCHMCT,Hotel Management College
65,Science,Pharmacy,JEE,Pharmacy College
65,Commerce,Hotel Management,NCHMCT,Hotel Management College
94,Science,Engineering,JEE,Top IIT/NIT
88,Science,Medical,NEET,Government Medical College
80,Science,Computer Science,JEE,Engineering College
70,Science,Biology,NEET,Private Medical College
85,Science,Architecture,JEE,Architecture College
82,Commerce,Business,CAT,Business School
65,Commerce,Finance,CA,CA Coaching Institute
56,Commerce,Management,CAT,Business School
68,Commerce,Accounting,CA,Commerce College
72,Commerce,Economics,CUET,Economics College
60,Arts,Law,CLAT,Law University
65,Arts,Design,NIFT,Design Institute
60,Arts,Mass Media,CUET,Mass Media College
61,Arts,Psychology,CUET,Psychology College
54,Arts,Fine Arts,NIFT,Fine Arts College
64,Arts,Hotel Management,NCHMCT,Hotel Management College
70,Science,Pharmacy,GPAT,Pharmacy College
57,Commerce,Hotel Management,NCHMCT,Hotel Management College
94,Science,Engineering,JEE,Top IIT/NIT
86,Science,Medical,NEET,Government Medical College
79,Science,Computer Science,JEE,Engineering College
64,Science,Biology,NEET,Private Medical College
89,Science,Architecture,JEE,Architecture College
79,Commerce,Business,CAT,Business School
74,Commerce,Finance,CA,CA Coaching Institute
73,Commerce,Management,CAT,Business School
60,Commerce,Accounting,CA,Commerce College
74,Commerce,Economics,CUET,Economics College
73,Arts,Law,CLAT,Law University
58,Arts,Design,NIFT,Design Institute
68,Arts,Mass Media,CUET,Mass Media College
45,Arts,Psychology,CUET,Psychology College
68,Arts,Fine Arts,NIFT,Fine Arts College
72,Arts,Hotel Management,NCHMCT,Hotel Management College
77,Science,Pharmacy,GPAT,Pharmacy College
58,Commerce,Hotel Management,NCHMCT,Hotel Management College
